symbol,baseAsset,quoteAsset,openPrice,lowPrice,highPrice,lastPrice,volume,bidPrice,askPrice,at
btcinr,btc,inr,5858136,5750000.0,5900427.0,5760000.0,1.7721299999999995,5760001.0,5776720.0,1718994280000
xrpinr,xrp,inr,44.59,43.5866,44.59,43.82,75293.80000000005,43.82,43.8968,1718994280000
ethinr,eth,inr,316988.8,310773.9,320438.9,313379.6,19.1131,312939.2,315000.0,1718994280000
trxinr,trx,inr,10.4835,10.409,10.6893,10.608,327623,10.5772,10.6799,1718994280000
eosinr,eos,inr,81.75,81.75,86.99,82.0,221.35,82.0,86.0,1718994280000
zilinr,zil,inr,2.35,2.17,2.35,2.23,59609,2.21,2.23,1718994280000
batinr,bat,inr,17.555,17.2,18.203,17.2,583.91,17.22,18.206,1718994280000
zrxinr,zrx,inr,33,32.18,34.21,32.5,2727.8999999999996,32.4,32.87,1718994280000
reqinr,req,inr,10.5656,9.8,11.5074,9.8,6814.43,9.8,9.9781,1718994280000
icxinr,icx,inr,13.603,13.603,14.3,14.248,183.45,14.2,14.248,1718994280000
omginr,omg,inr,30.179,29.316,31.502,31.0,10122.399999999998,30.012,31.0,1718994280000
iostinr,iost,inr,0.61,0.6,0.62,0.6,118857,0.6,0.62,1718994280000
dentinr,dent,inr,0.09,0.088,0.093,0.09,2671310,0.088,0.09,1718994280000
hotinr,hot,inr,0.169,0.163,0.171,0.165,1100497,0.162,0.164,1718994280000
funinr,fun,inr,0.37,0.34,0.39,0.37,279067,0.34,0.37,1718994280000
usdtinr,usdt,inr,90.51,89.9,91.05,90.01,498233.39999999997,90.05,90.8,1718994280000
wrxinr,wrx,inr,13.67,13.25,14.73,13.42,223025.3000000001,13.42,13.56,1718994280000
maticinr,matic,inr,52.9,52.0,53.448,52.0,22105.099999999988,52.0,52.098,1718994280000
bchinr,bch,inr,35818,35000.0,35832.0,35757.0,1.8627,35002.0,35757.0,1718994280000
bnbinr,bnb,inr,52652.66,52001.0,54065.74,53099.6,25.482299999999988,52003.01,52837.76,1718994280000
oneinr,one,inr,1.4,1.4,1.4799,1.44,77875,1.4,1.4499,1718994280000
yfiinr,yfi,inr,541435,524205.0,541659.0,524205.0,0.025622999999999996,522655.0,526909.0,1718994280000
uniinr,uni,inr,927.53,889.3,927.53,890.85,111.39999999999999,874.78,886.54,1718994280000
linkinr,link,inr,1302.01,1261.34,1321.18,1261.34,41.58999999999999,1256.1,1275.0,1718994280000
sxpinr,sxp,inr,24,23.0,24.0,23.799,1629.8999999999999,23.0,23.799,1718994280000
adainr,ada,inr,36.59,34.7668,36.9963,36.2998,18143.300000000007,34.77,36.2899,1718994280000
atominr,atom,inr,621.27,610.42,664.99,624.0,108.01000000000002,616.0,630.0,1718994280000
xlminr,xlm,inr,8.3765,8.1885,8.6014,8.3455,30926.10000000001,8.1965,8.3092,1718994280000
fetinr,fet,inr,140.84,138.025,144.684,140.302,4313,140.302,140.752,1718994280000
xeminr,xem,inr,1.306,1.27,1.399,1.301,88332,1.301,1.366,1718994280000
zecinr,zec,inr,2020,1830.0,2020.0,1830.0,48.086,1820.19,1999.81,1718994280000
dogeinr,doge,inr,11.3506,11.02,11.6,11.1372,133135,11.101,11.2008,1718994280000
dotinr,dot,inr,533,511.0,533.2,512.0,1322.4300000000003,513.0,529.92,1718994280000
vetinr,vet,inr,2.48999,2.4,2.59971,2.43054,102330,2.43054,2.59837,1718994280000
crvinr,crv,inr,31,29.69,33.0,30.14,247609.122,29.59,30.03,1718994280000
reninr,ren,inr,4.35,4.2,4.57247,4.2,38392.7,4.2,4.20043,1718994280000
enjinr,enj,inr,17.6001,17.6001,18.8979,18.0,28054.099999999995,17.9009,18.0,1718994280000
manainr,mana,inr,31.5691,30.1264,31.7284,30.13,3277.7,30.1,30.1743,1718994280000
hbarinr,hbar,inr,7.51931,7.103,7.51931,7.16,6300.699999999999,7.10311,7.14195,1718994280000
umainr,uma,inr,238.01,233.68,243.0,236.5,553.0759999999998,233.68,239.99,1718994280000
chrinr,chr,inr,22.9503,21.9146,23.3922,22.0,15733,21.8,22.2658,1718994280000
paxginr,paxg,inr,203095,203095.0,229666.0,229666.0,0.01483,204750.0,229666.0,1718994280000
1inchinr,1inch,inr,39.403,36.51,39.403,36.51,7676.87,36.51,37.256,1718994280000
etcinr,etc,inr,2199,2102.0,2299.988,2139.0,125.19000000000003,2104.0,2150.0,1718994280000
uftinr,uft,inr,29.526,29.199,30.019,29.525,918.7700000000001,28.9,29.312,1718994280000
dockinr,dock,inr,1.904,1.904,2.015,1.957,16133,1.927,1.956,1718994280000
filinr,fil,inr,407,399.0,428.0,405.69,438.8340000000001,400.0,422.99,1718994280000
