symbol,baseAsset,quoteAsset,openPrice,lowPrice,highPrice,lastPrice,volume,bidPrice,askPrice,at
cakeinr,cake,inr,201.11,185.81,201.98,185.81,1183.709,189.53,191.53,1719240917000
ftminr,ftm,inr,51.763,49.6,55.332,54.232,35384,54.101,54.833,1719240917000
hntinr,hnt,inr,307.5,291.0,308.0,291.0,592.393,293.0,296.39,1719240917000
ctsiinr,ctsi,inr,15.148,14.211,15.158,14.584,3453.3999999999996,14.4,14.552,1719240917000
kmdinr,kmd,inr,31.55,29.676,33.999,30.792,499.78999999999996,30.411,30.871,1719240917000
solinr,sol,inr,12157,11480.0,12215.78,11605.81,445.3660000000001,11605.81,11694.22,1719240917000
cotiinr,coti,inr,8.4,8.1,8.692,8.618,24524.3,8.421,8.699,1719240917000
iotxinr,iotx,inr,3.86,3.62,3.86,3.661,52009,3.621,3.66,1719240917000
shibinr,shib,inr,0.001615,0.001531,0.001631,0.00154,8785958170,0.001533,0.00154,1719240917000
rlcinr,rlc,inr,192.11,183.5,192.8,188.4,121.91,183.76,200.66,1719240917000
trbinr,trb,inr,9089,8524.67,9597.67,8553.5,27.219000000000005,8555.51,8664.98,1719240917000
reefinr,reef,inr,0.1308,0.125,0.1308,0.12766,1095237,0.12798,0.13065,1719240917000
icpinr,icp,inr,749,711.0,799.0,726.09,395.5399999999999,729.3,747.99,1719240917000
ontinr,ont,inr,20.51,18.5,20.51,18.5,2538.3299999999995,18.3,18.5,1719240917000
ckbinr,ckb,inr,0.9999,0.93,1.0221,0.9663,253339,0.96,0.9866,1719240917000
xvsinr,xvs,inr,580,550.01,580.0,550.01,111.23600000000002,550.01,597.82,1719240917000
viteinr,vite,inr,1.6,1.4445,1.6,1.513,49525.926999999996,1.5129,1.5357,1719240917000
dcrinr,dcr,inr,1400,1362.5,1514.79,1499.99,8.2803,1362.5,1499.99,1719240917000
mdxinr,mdx,inr,3.6,3.5,3.66,3.63,93994.12000000002,3.63,3.66,1719240917000
phainr,pha,inr,11.586,10.362,11.849,11.0,71550.05999999998,10.658,11.265,1719240917000
runeinr,rune,inr,399,365.12,399.0,382.13,653.9300000000001,371.0,382.31,1719240917000
ogninr,ogn,inr,10.289,9.0,10.289,9.999,3399,9.425,9.999,1719240917000
datainr,data,inr,4.0689,3.9099,4.1118,3.91,21524,3.911,3.9432,1719240917000
ksminr,ksm,inr,2160,2070.0,2248.99,2104.0,94.82400000000001,2104.0,2248.99,1719240917000
nkninr,nkn,inr,7.3416,7.0,7.4889,7.1654,14635.4,7.0184,7.2942,1719240917000
balinr,bal,inr,308.8,278.5,308.8,278.5,8.943999999999999,278.5,308.0,1719240917000
snxinr,snx,inr,182.91,170.0,188.484,188.484,114.54700000000001,175.189,188.484,1719240917000
axsinr,axs,inr,540,521.0,556.56,526.74,445.69000000000005,527.75,549.82,1719240917000
celrinr,celr,inr,1.4736,1.403,1.4777,1.45,124010,1.4285,1.464,1719240917000
alphainr,alpha,inr,7.43,7.1,7.8,7.14,10977.419999999998,7.1,7.16,1719240917000
compinr,comp,inr,4400,4220.0,4400.0,4314.0,10.209999999999999,4317.0,4382.0,1719240917000
aliceinr,alice,inr,103,99.33,112.0,105.32,2608.43,101.01,105.32,1719240917000
egldinr,egld,inr,2600,2557.71,2820.0,2577.6,30.457000000000004,2550.0,2587.04,1719240917000
sandinr,sand,inr,30.2072,28.61193,31.23199,29.50461,11000,29.301,29.50461,1719240917000
frontinr,front,inr,82.063,75.0,83.481,77.0,7135.389999999999,76.176,78.489,1719240917000
lrcinr,lrc,inr,15.7,15.1,15.97549,15.53855,16533.8,15.53855,15.82228,1719240917000
stxinr,stx,inr,147.568,141.0,150.0,141.0,290.44,141.0,149.999,1719240917000
algoinr,algo,inr,12.2,11.79,12.31,12.0,9249.27,11.98,12.12,1719240917000
alpacainr,alpaca,inr,12,10.6,12.87,11.03,26924.499999999993,10.6,11.18,1719240917000
xecinr,xec,inr,0.0029202,0.0027611,0.0029253,0.00277,182243662,0.00277,0.0027857,1719240917000
ilvinr,ilv,inr,7187.2,6000.0,7196.8,6477.9,62.911000000000016,6004.8,6475.9,1719240917000
dydxinr,dydx,inr,125,125.0,141.9,125.9,237.33,125.9,137.9,1719240917000
cfxinr,cfx,inr,13.601,13.3,14.899,14.397,3506,14.397,14.398,1719240917000
stptinr,stpt,inr,3.6942,3.19,3.6942,3.1902,2125.1,3.1903,3.4996,1719240917000
radinr,rad,inr,137,104.02,137.0,122.0,924.1999999999999,106.07,120.0,1719240917000
burgerinr,burger,inr,51,43.0,52.71,43.31,6830.000000000002,42.01,44.9,1719240917000
