symbol,baseAsset,quoteAsset,openPrice,lowPrice,highPrice,lastPrice,volume,bidPrice,askPrice,at
btcinr,btc,inr,5750000,5746101.0,5898122.0,5849666.0,1.9029300000000005,5814495.0,5829172.0,1719062631000
xrpinr,xrp,inr,44,43.655,44.5063,44.24,70382.40000000005,43.7273,44.1692,1719062631000
ethinr,eth,inr,315949.6,310773.9,319000.5,314800.3,18.474599999999963,314381.9,314858.6,1719062631000
trxinr,trx,inr,10.63,10.5497,10.9078,10.7645,365800,10.7538,10.7609,1719062631000
eosinr,eos,inr,82,78.6,84.79,84.79,84.75,78.65,84.75,1719062631000
zilinr,zil,inr,2.2,2.15,2.25,2.2,19414,2.2,2.25,1719062631000
batinr,bat,inr,17.327,17.2,18.203,17.22,7166.290000000002,17.22,18.066,1719062631000
zrxinr,zrx,inr,32.73,32.35,33.16,32.36,2910.400000000001,32.35,32.86,1719062631000
reqinr,req,inr,9.9781,9.8,10.0881,9.8,4450,9.9015,10.0588,1719062631000
icxinr,icx,inr,14.25,13.606,14.25,13.621,1790.95,13.606,14.0,1719062631000
omginr,omg,inr,29.519,29.0,31.0,30.845,7639.629999999999,29.87,29.897,1719062631000
iostinr,iost,inr,0.62,0.6,0.62,0.61,194914,0.61,0.62,1719062631000
dentinr,dent,inr,0.088,0.087,0.09,0.088,2466619,0.088,0.089,1719062631000
hotinr,hot,inr,0.166,0.16,0.168,0.162,1997624,0.163,0.167,1719062631000
funinr,fun,inr,0.37,0.34,0.37,0.34,146657,0.34,0.36,1719062631000
usdtinr,usdt,inr,90.19,89.6,92.0,90.18,543617.5399999991,90.14,90.18,1719062631000
wrxinr,wrx,inr,13.5,13.3,13.69,13.49,160515.60000000015,13.43,13.49,1719062631000
maticinr,matic,inr,52.011,51.0,53.046,51.7,27574.599999999995,51.305,51.7,1719062631000
bchinr,bch,inr,35075,34899.0,35757.0,35757.0,1.4255,34899.0,35756.0,1719062631000
bnbinr,bnb,inr,52873.83,51705.05,53400.0,52111.0,22.220000000000002,52111.0,52999.98,1719062631000
oneinr,one,inr,1.4,1.362,1.4499,1.3801,60792,1.3801,1.4438,1719062631000
yfiinr,yfi,inr,530682,522655.0,538905.0,526006.0,0.007439,524221.0,529065.0,1719062631000
uniinr,uni,inr,914.9,874.78,918.66,892.25,70.60000000000001,897.51,906.21,1719062631000
linkinr,link,inr,1284.66,1230.0,1347.37,1250.0,65.84,1250.0,1280.66,1719062631000
sxpinr,sxp,inr,23,23.0,24.0,23.799,840.1800000000001,23.0,23.799,1719062631000
adainr,ada,inr,35.18,34.0102,36.4,34.85,19493.299999999996,34.85,34.9999,1719062631000
atominr,atom,inr,618.36,610.42,659.99,625.0,71.42000000000002,616.0,625.0,1719062631000
xlminr,xlm,inr,8.4708,8.1309,8.4708,8.2158,43395.49999999999,8.1894,8.3047,1719062631000
fetinr,fet,inr,143.22,136.11,143.801,136.11,6619,136.0,137.792,1719062631000
xeminr,xem,inr,1.283,1.269,1.373,1.31,57212,1.301,1.31,1719062631000
zecinr,zec,inr,1830,1820.19,1999.81,1820.19,5.372999999999999,1822.0,1999.0,1719062631000
dogeinr,doge,inr,11.2,11.0201,11.4996,11.496,124881,11.3057,11.496,1719062631000
dotinr,dot,inr,511,511.0,530.0,521.05,626.74,521.1,527.82,1719062631000
vetinr,vet,inr,2.4,2.27,2.59895,2.3736,250374,2.37362,2.39999,1719062631000
crvinr,crv,inr,31.3,29.21,31.41,30.55,8258.624,30.15,31.1,1719062631000
reninr,ren,inr,4.29278,4.19957,4.5587,4.24298,37467.3,4.202,4.34998,1719062631000
enjinr,enj,inr,18.4992,17.7108,18.5003,17.8018,10270.5,17.805,18.4557,1719062632000
manainr,mana,inr,30.501,29.6001,31.077,30.0592,9082.300000000001,30.0613,30.7979,1719062632000
hbarinr,hbar,inr,7.20219,7.103,7.69999,7.12978,5578.899999999999,7.12978,7.63787,1719062632000
umainr,uma,inr,240,231.01,240.06,231.01,344.179,231.46,239.48,1719062632000
chrinr,chr,inr,22.5432,21.0001,22.9573,21.68,18515,21.5,21.68,1719062632000
paxginr,paxg,inr,203095,203095.0,229666.0,225323.0,0.055740000000000005,205096.0,225322.0,1719062632000
1inchinr,1inch,inr,37.3,36.0,37.977,37.211,2886.999999999999,36.372,37.322,1719062632000
etcinr,etc,inr,2150,2102.0,2173.343,2173.343,78.27999999999999,2109.026,2173.343,1719062632000
uftinr,uft,inr,29.484,28.751,29.525,28.751,251.04,28.851,29.999,1719062632000
dockinr,dock,inr,1.942,1.882,2.003,1.882,44718,1.882,2.003,1719062632000
filinr,fil,inr,400,400.0,423.99,407.31,118.99199999999999,401.0,414.0,1719062632000
wininr,win,inr,0.008,0.0078,0.0082,0.0082,35788873,0.008,0.0082,1719062632000
tkoinr,tko,inr,32.045,31.0,32.045,31.1,8.629999999999999,31.126,31.597,1719062632000
pushinr,push,inr,14.826,14.57,15.299,14.827,3712.06,14.6,15.199,1719062632000
avaxinr,avax,inr,2475,2300.0,2599.865,2435.0,183.64,2337.347,2490.0,1719062632000
xvginr,xvg,inr,0.3783,0.3702,0.3879,0.384,322093,0.384,0.3894,1719062632000
scinr,sc,inr,0.4165,0.415,0.4165,0.4151,128321,0.415,0.4155,1719062632000
fttinr,ftt,inr,134,133.0,136.491,133.5,5361.612999999999,133.1,133.5,1719062632000
dgbinr,dgb,inr,0.74,0.71,0.75,0.73,237540,0.72,0.73,1719062632000
cvcinr,cvc,inr,9.808,9.663,10.0,9.97,520.3000000000001,9.772,9.92,1719062632000
cakeinr,cake,inr,201.47,198.33,205.28,202.09,822.7010000000001,200.42,203.43,1719062632000
ftminr,ftm,inr,52.48,49.95,52.999,52.879,13786.300000000003,52.278,52.996,1719062632000
hntinr,hnt,inr,314.9,299.82,320.1,320.1,697.5880000000002,320.1,326.0,1719062632000
ctsiinr,ctsi,inr,15.395,14.9,15.467,14.927,2650.6,14.913,15.461,1719062632000
kmdinr,kmd,inr,35,30.975,35.0,34.699,1083.6299999999999,30.894,34.399,1719062632000
solinr,sol,inr,12097.04,11900.0,12300.0,12200.0,166.67999999999995,12141.93,12200.0,1719062632000
cotiinr,coti,inr,8.75,8.301,8.8,8.301,19042.5,8.301,8.786,1719062632000
iotxinr,iotx,inr,3.971,3.8,4.099,3.828,118939,3.824,3.936,1719062632000
shibinr,shib,inr,0.001612,0.0016,0.001657,0.001648,4295322105,0.00164,0.001647,1719062632000
rlcinr,rlc,inr,192.27,190.64,192.27,190.64,40.78,189.7,197.16,1719062632000
trbinr,trb,inr,9565.91,8800.0,10700.0,9489.79,374.60099999999926,9119.28,9489.79,1719062632000
reefinr,reef,inr,0.1328,0.12842,0.13969,0.12842,1692483,0.12842,0.13445,1719062632000
icpinr,icp,inr,755,755.0,797.87,789.9,169.91999999999996,789.9,789.98,1719062632000
ontinr,ont,inr,20.36,19.0,24.5,21.48,3360.6499999999996,19.03,21.21,1719062632000
ckbinr,ckb,inr,1.017,1.0,1.066,1.0178,240659,1.0011,1.0173,1719062632000
xvsinr,xvs,inr,605.3,575.0,605.54,575.0,18.122,574.15,581.92,1719062632000
viteinr,vite,inr,1.5569,1.53,1.6182,1.5424,6858.787,1.5189,1.5419,1719062632000
dcrinr,dcr,inr,1400.84,1392.0,1514.9,1514.7,19.488899999999994,1370.0,1514.6,1719062632000
mdxinr,mdx,inr,3.6,3.5,3.71,3.55,86851.46,3.51,3.56,1719062632000
phainr,pha,inr,12.5,11.989,12.969,12.215,44482.24,12.0,12.216,1719062632000
runeinr,rune,inr,385,380.0,408.97,380.12,379.269,380.12,399.78,1719062632000
