symbol,date,predicted_price
ilvinr,2024-06-23,7384.0
dydxinr,2024-06-22,138.9
dydxinr,2024-06-23,138.9
cfxinr,2024-06-22,14.0
cfxinr,2024-06-23,14.0
stptinr,2024-06-22,3.4312
stptinr,2024-06-23,3.4312
radinr,2024-06-22,138.99
radinr,2024-06-23,138.99
burgerinr,2024-06-22,48.75
burgerinr,2024-06-23,48.75
roseinr,2024-06-22,8.4911
roseinr,2024-06-23,8.4911
agldinr,2024-06-22,92.0
agldinr,2024-06-23,92.0
keyinr,2024-06-22,0.54746
keyinr,2024-06-23,0.54746
slpinr,2024-06-22,0.2847
slpinr,2024-06-23,0.2847
auctioninr,2024-06-22,1510.0
auctioninr,2024-06-23,1510.0
oceaninr,2024-06-22,58.0
oceaninr,2024-06-23,58.0
superinr,2024-06-22,65.006
superinr,2024-06-23,65.006
betainr,2024-06-22,4.3897
betainr,2024-06-23,4.3897
waxpinr,2024-06-22,3.899
waxpinr,2024-06-23,3.899
arinr,2024-06-22,2574.99
arinr,2024-06-23,2574.99
sushiinr,2024-06-22,73.92
sushiinr,2024-06-23,73.92
mkrinr,2024-06-22,227279.61
mkrinr,2024-06-23,227279.61
galainr,2024-06-22,2.5601
galainr,2024-06-23,2.5601
tlminr,2024-06-22,1.161
tlminr,2024-06-23,1.161
ensinr,2024-06-22,2256.0
ensinr,2024-06-23,2256.0
ctxcinr,2024-06-22,23.378
ctxcinr,2024-06-23,23.378
mboxinr,2024-06-22,21.05
mboxinr,2024-06-23,21.05
ookiinr,2024-06-22,0.1612
ookiinr,2024-06-23,0.1612
ampinr,2024-06-22,0.4294
ampinr,2024-06-23,0.4294
nearinr,2024-06-22,476.753
nearinr,2024-06-23,476.753
ardrinr,2024-06-22,6.1097
ardrinr,2024-06-23,6.1097
grtinr,2024-06-22,19.66
grtinr,2024-06-23,19.66
bttcinr,2024-06-22,8e-05
bttcinr,2024-06-23,8e-05
creaminr,2024-06-22,6306.89
creaminr,2024-06-23,6306.89
bicoinr,2024-06-22,34.75
bicoinr,2024-06-23,34.75
spellinr,2024-06-22,0.068428
spellinr,2024-06-23,0.068428
qntinr,2024-06-22,7484.0
qntinr,2024-06-23,7484.0
duskinr,2024-06-22,27.71
duskinr,2024-06-23,27.71
jasmyinr,2024-06-22,2.586
jasmyinr,2024-06-23,2.586
tfuelinr,2024-06-22,6.4108
tfuelinr,2024-06-23,6.4108
kncinr,2024-06-22,52.0
kncinr,2024-06-23,52.0
dodoinr,2024-06-22,12.69
dodoinr,2024-06-23,12.69
achinr,2024-06-22,2.15
achinr,2024-06-23,2.15
idexinr,2024-06-22,4.2084
idexinr,2024-06-23,4.2084
celoinr,2024-06-22,54.24
celoinr,2024-06-23,54.24
tinr,2024-06-22,2.3498
tinr,2024-06-23,2.3498
pyrinr,2024-06-22,340.0
pyrinr,2024-06-23,340.0
imxinr,2024-06-22,145.71
imxinr,2024-06-23,145.71
bakeinr,2024-06-22,33.656
bakeinr,2024-06-23,33.656
neoinr,2024-06-22,1060.0
neoinr,2024-06-23,1060.0
apeinr,2024-06-22,84.006
apeinr,2024-06-23,84.006
wooinr,2024-06-22,19.1
wooinr,2024-06-23,19.1
ankrinr,2024-06-22,2.8773
ankrinr,2024-06-23,2.8773
oxtinr,2024-06-22,7.95
oxtinr,2024-06-23,7.95
rndrinr,2024-06-22,686.64
rndrinr,2024-06-23,686.64
gmtinr,2024-06-22,15.499
gmtinr,2024-06-23,15.499
reiinr,2024-06-22,4.7025
reiinr,2024-06-23,4.7025
lptinr,2024-06-22,1898.8
lptinr,2024-06-23,1898.8
ygginr,2024-06-22,58.0
ygginr,2024-06-23,58.0
opinr,2024-06-22,179.0
opinr,2024-06-23,179.0
leverinr,2024-06-22,0.1958
leverinr,2024-06-23,0.1958
ldoinr,2024-06-22,199.76
ldoinr,2024-06-23,199.76
polyxinr,2024-06-22,30.109
polyxinr,2024-06-23,30.109
usdcinr,2024-06-22,88.15
usdcinr,2024-06-23,88.15
hifiinr,2024-06-22,44.85
hifiinr,2024-06-23,44.85
gftinr,2024-06-22,1.7393
gftinr,2024-06-23,1.7393
blurinr,2024-06-22,24.01
blurinr,2024-06-23,24.01
flokiinr,2024-06-22,0.01558
flokiinr,2024-06-23,0.01558
briseinr,2024-06-22,1.19e-05
briseinr,2024-06-23,1.19e-05
arbinr,2024-06-22,77.999
arbinr,2024-06-23,77.999
injinr,2024-06-22,2023.383
injinr,2024-06-23,2023.383
pepeinr,2024-06-22,0.0010336
pepeinr,2024-06-23,0.0010336
bobinr,2024-06-22,0.003325
bobinr,2024-06-23,0.003325
comboinr,2024-06-22,63.47
comboinr,2024-06-23,63.47
aaveinr,2024-06-22,7574.77
aaveinr,2024-06-23,7574.77
rsrinr,2024-06-22,0.53908
rsrinr,2024-06-23,0.53908
cosinr,2024-06-22,0.7549
cosinr,2024-06-23,0.7549
avainr,2024-06-22,57.001
avainr,2024-06-23,57.001
bandinr,2024-06-22,100.6016
bandinr,2024-06-23,100.6016
pendleinr,2024-06-22,520.939
pendleinr,2024-06-23,520.939
loominr,2024-06-22,5.2
loominr,2024-06-23,5.2
wldinr,2024-06-22,272.72727
wldinr,2024-06-23,272.72727
quickinr,2024-06-22,4.1003
quickinr,2024-06-23,4.1003
vibinr,2024-06-22,7.22
vibinr,2024-06-23,7.22
maskinr,2024-06-22,243.75
maskinr,2024-06-23,243.75
adxinr,2024-06-22,15.21
adxinr,2024-06-23,15.21
blzinr,2024-06-22,24.0
blzinr,2024-06-23,24.0
pundixinr,2024-06-22,33.939
pundixinr,2024-06-23,33.939
sklinr,2024-06-22,5.2885
sklinr,2024-06-23,5.2885
clvinr,2024-06-22,4.9921
clvinr,2024-06-23,4.9921
stmxinr,2024-06-22,0.42068
stmxinr,2024-06-23,0.42068
audioinr,2024-06-22,13.884
audioinr,2024-06-23,13.884
glminr,2024-06-22,33.1
glminr,2024-06-23,33.1
mtlinr,2024-06-22,104.501
mtlinr,2024-06-23,104.501
storjinr,2024-06-22,34.39
storjinr,2024-06-23,34.39
perpinr,2024-06-22,79.7912
perpinr,2024-06-23,79.7912
dexeinr,2024-06-22,1002.89
dexeinr,2024-06-23,1002.89
bigtimeinr,2024-06-22,11.7026
bigtimeinr,2024-06-23,11.7026
memeinr,2024-06-22,1.72
memeinr,2024-06-23,1.72
tokeninr,2024-06-22,7.7
tokeninr,2024-06-23,7.7
vicinr,2024-06-22,34.8
vicinr,2024-06-23,34.8
beamxinr,2024-06-22,1.74409
beamxinr,2024-06-23,1.74409
bonkinr,2024-06-22,0.0018472
bonkinr,2024-06-23,0.0018472
jtoinr,2024-06-22,231.0
jtoinr,2024-06-23,231.0
degoinr,2024-06-22,179.0
degoinr,2024-06-23,179.0
htxinr,2024-06-22,0.00010427
htxinr,2024-06-23,0.00010427
pixelinr,2024-06-22,27.199
pixelinr,2024-06-23,27.199
toninr,2024-06-22,651.0
toninr,2024-06-23,651.0
suiinr,2024-06-22,83.047
suiinr,2024-06-23,83.047
pythinr,2024-06-22,29.5
pythinr,2024-06-23,29.5
kasinr,2024-06-22,13.4
kasinr,2024-06-23,13.4
wifinr,2024-06-22,163.0
wifinr,2024-06-23,163.0
bomeinr,2024-06-22,0.80002
bomeinr,2024-06-23,0.80002
bcutinr,2024-06-22,5.633
bcutinr,2024-06-23,5.633
ethfiinr,2024-06-22,325.84
ethfiinr,2024-06-23,325.84
nakainr,2024-06-22,95.03
nakainr,2024-06-23,95.03
enainr,2024-06-22,56.0
enainr,2024-06-23,56.0
ondoinr,2024-06-22,111.19
ondoinr,2024-06-23,111.19
omniinr,2024-06-22,1300.17
omniinr,2024-06-23,1300.17
rvninr,2024-06-22,1.82
rvninr,2024-06-23,1.82
mewinr,2024-06-22,0.34348
mewinr,2024-06-23,0.34348
qtuminr,2024-06-22,230.0
qtuminr,2024-06-23,230.0
notinr,2024-06-22,1.367626
notinr,2024-06-23,1.367626
minainr,2024-06-22,58.66
minainr,2024-06-23,58.66
ltcinr,2024-06-22,6568.32
ltcinr,2024-06-23,6568.32
dashinr,2024-06-22,2371.0
dashinr,2024-06-23,2371.0
xrpbtc,2024-06-22,7.96e-06
xrpbtc,2024-06-23,7.96e-06
trxbtc,2024-06-22,1.84e-06
trxbtc,2024-06-23,1.84e-06
ethbtc,2024-06-22,0.050125
ethbtc,2024-06-23,0.050125
zilbtc,2024-06-22,3.9e-07
zilbtc,2024-06-23,3.9e-07
batbtc,2024-06-22,2.81e-06
batbtc,2024-06-23,2.81e-06
ltcbtc,2024-06-22,0.001101
ltcbtc,2024-06-23,0.001101
qkcbtc,2024-06-22,1.2e-07
qkcbtc,2024-06-23,1.2e-07
dashbtc,2024-06-22,0.0004
dashbtc,2024-06-23,0.0004
iostbtc,2024-06-22,1e-07
iostbtc,2024-06-23,1e-07
nulsbtc,2024-06-22,6e-06
nulsbtc,2024-06-23,6e-06
omgbtc,2024-06-22,6e-06
omgbtc,2024-06-23,6e-06
reqbtc,2024-06-22,2.19e-06
reqbtc,2024-06-23,2.19e-06
sntbtc,2024-06-22,5.6e-07
sntbtc,2024-06-23,5.6e-07
thetabtc,2024-06-22,2.231e-05
thetabtc,2024-06-23,2.231e-05
zrxbtc,2024-06-22,5.9e-06
zrxbtc,2024-06-23,5.9e-06
eosbtc,2024-06-22,1.38e-05
eosbtc,2024-06-23,1.38e-05
icxbtc,2024-06-22,1.4e-06
icxbtc,2024-06-23,1.4e-06
fetbtc,2024-06-22,2.488e-05
fetbtc,2024-06-23,2.488e-05
celrbtc,2024-06-22,1.9e-07
celrbtc,2024-06-23,1.9e-07
maticbtc,2024-06-22,9.93e-06
maticbtc,2024-06-23,9.93e-06
adabtc,2024-06-22,5.08e-06
adabtc,2024-06-23,5.08e-06
rvnbtc,2024-06-22,3.1e-07
rvnbtc,2024-06-23,3.1e-07
xmrbtc,2024-06-22,0.001319
xmrbtc,2024-06-23,0.001319
atombtc,2024-06-22,0.0001011
